source,flow,unit,currency,year,reporting,partner,export_import,special_general,species_bullions,transport_type,statistical_period,partner_sum,world_trade_type,notes
AnuarioEstadsticoDeLaRepblicaOrientalDelUruguay_1930_204205,7238422,1,pesos,1926,uruguay,argentina,imp,spe,,,,,,Valor de aforo de las tarifas de Aduana
AnuarioEstadsticoDeLaRepblicaOrientalDelUruguay_1930_204205,2700,1,pesos,1926,uruguay,bolivia,imp,spe,,,,,,Valor de aforo de las tarifas de Aduana
AnuarioEstadsticoDeLaRepblicaOrientalDelUruguay_1930_204205,3843421,1,pesos,1926,uruguay,brasil,imp,spe,,,,,,Valor de aforo de las tarifas de Aduana
AnuarioEstadsticoDeLaRepblicaOrientalDelUruguay_1930_204205,482888,1,pesos,1926,uruguay,canada,imp,spe,,,,,,Valor de aforo de las tarifas de Aduana
AnuarioEstadsticoDeLaRepblicaOrientalDelUruguay_1930_204205,511227,1,pesos,1926,uruguay,cuba,imp,spe,,,,,,Valor de aforo de las tarifas de Aduana
AnuarioEstadsticoDeLaRepblicaOrientalDelUruguay_1930_204205,100769,1,pesos,1926,uruguay,chile,imp,spe,,,,,,Valor de aforo de las tarifas de Aduana
AnuarioEstadsticoDeLaRepblicaOrientalDelUruguay_1930_204205,1314,1,pesos,1926,uruguay,ecuador,imp,spe,,,,,,Valor de aforo de las tarifas de Aduana
AnuarioEstadsticoDeLaRepblicaOrientalDelUruguay_1930_204205,21323244,1,pesos,1926,uruguay,estados unidos,imp,spe,,,,,,Valor de aforo de las tarifas de Aduana
AnuarioEstadsticoDeLaRepblicaOrientalDelUruguay_1930_204205,9656,1,pesos,1926,uruguay,malvinas,imp,spe,,,,,,Valor de aforo de las tarifas de Aduana
AnuarioEstadsticoDeLaRepblicaOrientalDelUruguay_1930_204205,1522891,1,pesos,1926,uruguay,mejico,imp,spe,,,,,,Valor de aforo de las tarifas de Aduana
AnuarioEstadsticoDeLaRepblicaOrientalDelUruguay_1930_204205,286849,1,pesos,1926,uruguay,paraguay,imp,spe,,,,,,Valor de aforo de las tarifas de Aduana
AnuarioEstadsticoDeLaRepblicaOrientalDelUruguay_1930_204205,507474,1,pesos,1926,uruguay,peru,imp,spe,,,,,,Valor de aforo de las tarifas de Aduana
AnuarioEstadsticoDeLaRepblicaOrientalDelUruguay_1930_204205,18232,1,pesos,1926,uruguay,puerto rico,imp,spe,,,,,,Valor de aforo de las tarifas de Aduana
AnuarioEstadsticoDeLaRepblicaOrientalDelUruguay_1930_204205,12434,1,pesos,1926,uruguay,santo domingo,imp,spe,,,,,,Valor de aforo de las tarifas de Aduana
AnuarioEstadsticoDeLaRepblicaOrientalDelUruguay_1930_204205,4344,1,pesos,1926,uruguay,venezuela,imp,spe,,,,,,Valor de aforo de las tarifas de Aduana
AnuarioEstadsticoDeLaRepblicaOrientalDelUruguay_1930_204205,8143521,1,pesos,1926,uruguay,alemania,imp,spe,,,,,,Valor de aforo de las tarifas de Aduana
AnuarioEstadsticoDeLaRepblicaOrientalDelUruguay_1930_204205,6064,1,pesos,1926,uruguay,austria,imp,spe,,,,,,Valor de aforo de las tarifas de Aduana
AnuarioEstadsticoDeLaRepblicaOrientalDelUruguay_1930_204205,4046093,1,pesos,1926,uruguay,belgica,imp,spe,,,,,,Valor de aforo de las tarifas de Aduana
AnuarioEstadsticoDeLaRepblicaOrientalDelUruguay_1930_204205,20580,1,pesos,1926,uruguay,checoeslovaquia,imp,spe,,,,,,Valor de aforo de las tarifas de Aduana
AnuarioEstadsticoDeLaRepblicaOrientalDelUruguay_1930_204205,13504,1,pesos,1926,uruguay,dinamarca,imp,spe,,,,,,Valor de aforo de las tarifas de Aduana
AnuarioEstadsticoDeLaRepblicaOrientalDelUruguay_1930_204205,3419082,1,pesos,1926,uruguay,espana,imp,spe,,,,,,Valor de aforo de las tarifas de Aduana
AnuarioEstadsticoDeLaRepblicaOrientalDelUruguay_1930_204205,5329696,1,pesos,1926,uruguay,francia,imp,spe,,,,,,Valor de aforo de las tarifas de Aduana
AnuarioEstadsticoDeLaRepblicaOrientalDelUruguay_1930_204205,137,1,pesos,1926,uruguay,grecia,imp,spe,,,,,,Valor de aforo de las tarifas de Aduana
AnuarioEstadsticoDeLaRepblicaOrientalDelUruguay_1930_204205,4042428,1,pesos,1926,uruguay,italia,imp,spe,,,,,,Valor de aforo de las tarifas de Aduana
AnuarioEstadsticoDeLaRepblicaOrientalDelUruguay_1930_204205,138620,1,pesos,1926,uruguay,noruega,imp,spe,,,,,,Valor de aforo de las tarifas de Aduana
AnuarioEstadsticoDeLaRepblicaOrientalDelUruguay_1930_204205,865215,1,pesos,1926,uruguay,holanda,imp,spe,,,,,,Valor de aforo de las tarifas de Aduana
AnuarioEstadsticoDeLaRepblicaOrientalDelUruguay_1930_204205,61894,1,pesos,1926,uruguay,portugal,imp,spe,,,,,,Valor de aforo de las tarifas de Aduana
AnuarioEstadsticoDeLaRepblicaOrientalDelUruguay_1930_204205,10656829,1,pesos,1926,uruguay,gran bretana,imp,spe,,,,,,Valor de aforo de las tarifas de Aduana
AnuarioEstadsticoDeLaRepblicaOrientalDelUruguay_1930_204205,199,1,pesos,1926,uruguay,rumania,imp,spe,,,,,,Valor de aforo de las tarifas de Aduana
AnuarioEstadsticoDeLaRepblicaOrientalDelUruguay_1930_204205,234115,1,pesos,1926,uruguay,suecia,imp,spe,,,,,,Valor de aforo de las tarifas de Aduana
AnuarioEstadsticoDeLaRepblicaOrientalDelUruguay_1930_204205,85276,1,pesos,1926,uruguay,suiza,imp,spe,,,,,,Valor de aforo de las tarifas de Aduana
AnuarioEstadsticoDeLaRepblicaOrientalDelUruguay_1930_204205,195,1,pesos,1926,uruguay,rusia,imp,spe,,,,,,Valor de aforo de las tarifas de Aduana
AnuarioEstadsticoDeLaRepblicaOrientalDelUruguay_1930_204205,619,1,pesos,1926,uruguay,arabia,imp,spe,,,,,,Valor de aforo de las tarifas de Aduana
AnuarioEstadsticoDeLaRepblicaOrientalDelUruguay_1930_204205,6330,1,pesos,1926,uruguay,china,imp,spe,,,,,,Valor de aforo de las tarifas de Aduana
AnuarioEstadsticoDeLaRepblicaOrientalDelUruguay_1930_204205,24074,1,pesos,1926,uruguay,filipinas,imp,spe,,,,,,Valor de aforo de las tarifas de Aduana
AnuarioEstadsticoDeLaRepblicaOrientalDelUruguay_1930_204205,540882,1,pesos,1926,uruguay,india,imp,spe,,,,,,Valor de aforo de las tarifas de Aduana
AnuarioEstadsticoDeLaRepblicaOrientalDelUruguay_1930_204205,589165,1,pesos,1926,uruguay,japon,imp,spe,,,,,,Valor de aforo de las tarifas de Aduana
AnuarioEstadsticoDeLaRepblicaOrientalDelUruguay_1930_204205,592,1,pesos,1926,uruguay,turquia,imp,spe,,,,,,Valor de aforo de las tarifas de Aduana
AnuarioEstadsticoDeLaRepblicaOrientalDelUruguay_1930_204205,5527,1,pesos,1926,uruguay,africa del sur,imp,spe,,,,,,Valor de aforo de las tarifas de Aduana
AnuarioEstadsticoDeLaRepblicaOrientalDelUruguay_1930_204205,897,1,pesos,1926,uruguay,australia,imp,spe,,,,,,Valor de aforo de las tarifas de Aduana
AnuarioEstadsticoDeLaRepblicaOrientalDelUruguay_1930_204205,14232,1,pesos,1926,uruguay,nueva zelandia,imp,spe,,,,,,Valor de aforo de las tarifas de Aduana
AnuarioEstadsticoDeLaRepblicaOrientalDelUruguay_1930_204205,9140736,1,pesos,1927,uruguay,argentina,imp,spe,,,,,,Valor de aforo de las tarifas de Aduana
AnuarioEstadsticoDeLaRepblicaOrientalDelUruguay_1930_204205,4427172,1,pesos,1927,uruguay,brasil,imp,spe,,,,,,Valor de aforo de las tarifas de Aduana
AnuarioEstadsticoDeLaRepblicaOrientalDelUruguay_1930_204205,209616,1,pesos,1927,uruguay,canada,imp,spe,,,,,,Valor de aforo de las tarifas de Aduana
AnuarioEstadsticoDeLaRepblicaOrientalDelUruguay_1930_204205,521697,1,pesos,1927,uruguay,cuba,imp,spe,,,,,,Valor de aforo de las tarifas de Aduana
AnuarioEstadsticoDeLaRepblicaOrientalDelUruguay_1930_204205,87887,1,pesos,1927,uruguay,chile,imp,spe,,,,,,Valor de aforo de las tarifas de Aduana
AnuarioEstadsticoDeLaRepblicaOrientalDelUruguay_1930_204205,800,1,pesos,1927,uruguay,ecuador,imp,spe,,,,,,Valor de aforo de las tarifas de Aduana
AnuarioEstadsticoDeLaRepblicaOrientalDelUruguay_1930_204205,24883214,1,pesos,1927,uruguay,estados unidos,imp,spe,,,,,,Valor de aforo de las tarifas de Aduana
AnuarioEstadsticoDeLaRepblicaOrientalDelUruguay_1930_204205,554,1,pesos,1927,uruguay,malvinas,imp,spe,,,,,,Valor de aforo de las tarifas de Aduana
AnuarioEstadsticoDeLaRepblicaOrientalDelUruguay_1930_204205,1618998,1,pesos,1927,uruguay,mejico,imp,spe,,,,,,Valor de aforo de las tarifas de Aduana
AnuarioEstadsticoDeLaRepblicaOrientalDelUruguay_1930_204205,239384,1,pesos,1927,uruguay,paraguay,imp,spe,,,,,,Valor de aforo de las tarifas de Aduana
AnuarioEstadsticoDeLaRepblicaOrientalDelUruguay_1930_204205,118200,1,pesos,1927,uruguay,peru,imp,spe,,,,,,Valor de aforo de las tarifas de Aduana
AnuarioEstadsticoDeLaRepblicaOrientalDelUruguay_1930_204205,23805,1,pesos,1927,uruguay,puerto rico,imp,spe,,,,,,Valor de aforo de las tarifas de Aduana
AnuarioEstadsticoDeLaRepblicaOrientalDelUruguay_1930_204205,11853,1,pesos,1927,uruguay,santo domingo,imp,spe,,,,,,Valor de aforo de las tarifas de Aduana
AnuarioEstadsticoDeLaRepblicaOrientalDelUruguay_1930_204205,3701,1,pesos,1927,uruguay,venezuela,imp,spe,,,,,,Valor de aforo de las tarifas de Aduana
AnuarioEstadsticoDeLaRepblicaOrientalDelUruguay_1930_204205,216,1,pesos,1927,uruguay,albania,imp,spe,,,,,,Valor de aforo de las tarifas de Aduana
AnuarioEstadsticoDeLaRepblicaOrientalDelUruguay_1930_204205,8810259,1,pesos,1927,uruguay,alemania,imp,spe,,,,,,Valor de aforo de las tarifas de Aduana
AnuarioEstadsticoDeLaRepblicaOrientalDelUruguay_1930_204205,7423,1,pesos,1927,uruguay,austria,imp,spe,,,,,,Valor de aforo de las tarifas de Aduana
AnuarioEstadsticoDeLaRepblicaOrientalDelUruguay_1930_204205,5063068,1,pesos,1927,uruguay,belgica,imp,spe,,,,,,Valor de aforo de las tarifas de Aduana
AnuarioEstadsticoDeLaRepblicaOrientalDelUruguay_1930_204205,102750,1,pesos,1927,uruguay,checoeslovaquia,imp,spe,,,,,,Valor de aforo de las tarifas de Aduana
AnuarioEstadsticoDeLaRepblicaOrientalDelUruguay_1930_204205,8052,1,pesos,1927,uruguay,dinamarca,imp,spe,,,,,,Valor de aforo de las tarifas de Aduana
AnuarioEstadsticoDeLaRepblicaOrientalDelUruguay_1930_204205,2488044,1,pesos,1927,uruguay,espana,imp,spe,,,,,,Valor de aforo de las tarifas de Aduana
AnuarioEstadsticoDeLaRepblicaOrientalDelUruguay_1930_204205,5165402,1,pesos,1927,uruguay,francia,imp,spe,,,,,,Valor de aforo de las tarifas de Aduana
AnuarioEstadsticoDeLaRepblicaOrientalDelUruguay_1930_204205,3540152,1,pesos,1927,uruguay,italia,imp,spe,,,,,,Valor de aforo de las tarifas de Aduana
AnuarioEstadsticoDeLaRepblicaOrientalDelUruguay_1930_204205,116512,1,pesos,1927,uruguay,noruega,imp,spe,,,,,,Valor de aforo de las tarifas de Aduana
AnuarioEstadsticoDeLaRepblicaOrientalDelUruguay_1930_204205,745549,1,pesos,1927,uruguay,holanda,imp,spe,,,,,,Valor de aforo de las tarifas de Aduana
AnuarioEstadsticoDeLaRepblicaOrientalDelUruguay_1930_204205,144,1,pesos,1927,uruguay,polonia,imp,spe,,,,,,Valor de aforo de las tarifas de Aduana
AnuarioEstadsticoDeLaRepblicaOrientalDelUruguay_1930_204205,25889,1,pesos,1927,uruguay,portugal,imp,spe,,,,,,Valor de aforo de las tarifas de Aduana
AnuarioEstadsticoDeLaRepblicaOrientalDelUruguay_1930_204205,12384290,1,pesos,1927,uruguay,gran bretana,imp,spe,,,,,,Valor de aforo de las tarifas de Aduana
AnuarioEstadsticoDeLaRepblicaOrientalDelUruguay_1930_204205,1104,1,pesos,1927,uruguay,rumania,imp,spe,,,,,,Valor de aforo de las tarifas de Aduana
AnuarioEstadsticoDeLaRepblicaOrientalDelUruguay_1930_204205,271208,1,pesos,1927,uruguay,suecia,imp,spe,,,,,,Valor de aforo de las tarifas de Aduana
AnuarioEstadsticoDeLaRepblicaOrientalDelUruguay_1930_204205,52710,1,pesos,1927,uruguay,suiza,imp,spe,,,,,,Valor de aforo de las tarifas de Aduana
