COW_code,COW_name,start_year,end_year,link_type,sovereign_COW_code
2,United States of America,1816,2016,Sovereign,
3,Alaska,1816,1867,Became colony of,365
3,Alaska,1867,1959,Became colony of,2
3,Alaska,1959,2016,Became part of,2
4,Hawaii,1816,1898,Sovereign (unrecognised),
4,Hawaii,1898,1960,Became colony of,2
4,Hawaii,1960,2016,Became part of,2
5,Virgin Islands,1816,1917,Became colony of,390
5,Virgin Islands,1917,2016,Became colony of,2
6,Puerto Rico,1816,1821,Became part of,1070
6,Puerto Rico,1821,1898,Became colony of,230
6,Puerto Rico,1898,1952,Became colony of,2
6,Puerto Rico,1952,2016,Unincorporated territory,2
7,Texas,1816,1836,Became part of,70
7,Texas,1836,1845,Sovereign,
7,Texas,1845,1861,Became part of,2
7,Texas,1861,1865,Became part of,1002
7,Texas,1865,2016,Became part of,2
10,Greenland,1816,1953,Became colony of,390
10,Greenland,1941,1945,Occupied by,2
10,Greenland,1953,2016,Autonomous constituent country of,390
11,Faeroe Is.,1816,1947,Became colony of,390
11,Faeroe Is.,1940,1945,Occupied by,200
11,Faeroe Is.,1947,2016,Autonomous constituent country of,390
20,Canada,1816,1841,Became part of,1025
20,Canada,1841,1920,Became colony of,200
20,Canada,1920,2016,Sovereign,
21,Newfoundland,1816,1949,Became colony of,200
21,Newfoundland,1949,2016,Became part of,20
30,Bermuda,1816,2016,Became colony of,200
31,Bahamas,1816,1973,Became colony of,200
31,Bahamas,1973,2016,Sovereign,
40,Cuba,1816,1821,Became part of,1070
40,Cuba,1816,1898,Became colony of,230
40,Cuba,1898,1902,Occupied by,2
40,Cuba,1906,1909,Occupied by,2
40,Cuba,1902,2016,Sovereign,
41,Haiti,1915,1934,Occupied by,2
41,Haiti,1816,1915,Sovereign,
41,Haiti,1934,2016,Sovereign,
42,Dominican Republic (Santo Domingo),1816,1821,Became colony of,230
42,Dominican Republic (Santo Domingo),1816,1821,Became part of,1070
42,Dominican Republic (Santo Domingo),1822,1844,Occupied by,41
42,Dominican Republic (Santo Domingo),1844,1861,Sovereign,
42,Dominican Republic (Santo Domingo),1861,1865,Became colony of,230
42,Dominican Republic (Santo Domingo),1916,1924,Occupied by,2
42,Dominican Republic (Santo Domingo),1965,1966,Occupied by,2
42,Dominican Republic (Santo Domingo),1865,1916,Sovereign,
42,Dominican Republic (Santo Domingo),1924,2016,Sovereign,
50,West Indies Federation,1816,1958,Became part of,56
50,West Indies Federation,1816,1958,Became part of,55
50,West Indies Federation,1816,1958,Became part of,59
50,West Indies Federation,1816,1958,Became part of,60
50,West Indies Federation,1816,1958,Became part of,52
50,West Indies Federation,1816,1958,Became part of,58
50,West Indies Federation,1816,1958,Became part of,51
50,West Indies Federation,1816,1958,Became part of,54
50,West Indies Federation,1816,1958,Became part of,57
50,West Indies Federation,1816,1958,Became part of,53
50,West Indies Federation,1958,1962,Became colony of,200
50,West Indies Federation,1962,2016,Became part of,51
50,West Indies Federation,1962,2016,Became part of,59
50,West Indies Federation,1962,2016,Became part of,58
50,West Indies Federation,1962,2016,Became part of,57
50,West Indies Federation,1962,2016,Became part of,56
50,West Indies Federation,1962,2016,Became part of,55
50,West Indies Federation,1962,2016,Became part of,54
50,West Indies Federation,1962,2016,Became part of,53
50,West Indies Federation,1962,2016,Became part of,52
50,West Indies Federation,1962,2016,Became part of,60
51,Jamaica,1816,1958,Became colony of,200
51,Jamaica,1958,1962,Became part of,50
51,Jamaica,1962,2016,Sovereign,
52,Trinidad and Tobago,1816,1958,Became colony of,200
52,Trinidad and Tobago,1958,1962,Became part of,50
52,Trinidad and Tobago,1962,2016,Sovereign,
53,Barbados,1816,1958,Became colony of,200
53,Barbados,1958,1962,Became part of,50
53,Barbados,1962,1966,Became colony of,200
53,Barbados,1966,2016,Sovereign,
54,Dominica,1816,1871,Became colony of,200
54,Dominica,1871,1940,Became part of,1063
54,Dominica,1940,1958,Became part of,1055
54,Dominica,1958,1962,Became part of,50
54,Dominica,1962,1967,Became colony of,200
54,Dominica,1967,1978,Became associated state of,200
54,Dominica,1978,2016,Sovereign,
55,Grenada,1816,1833,Became colony of,200
55,Grenada,1833,1958,Became part of,1055
55,Grenada,1958,1962,Became part of,50
55,Grenada,1962,1967,Became colony of,200
55,Grenada,1967,1974,Became associated state of,200
55,Grenada,1983,1985,Occupied by,2
55,Grenada,1974,2016,Sovereign,
56,St. Lucia,1816,1838,Became colony of,200
56,St. Lucia,1838,1960,Became part of,1055
56,St. Lucia,1958,1962,Became part of,50
56,St. Lucia,1962,1967,Became colony of,200
56,St. Lucia,1967,1979,Became associated state of,200
56,St. Lucia,1979,2016,Sovereign,
57,St. Vincent and the Grenadines,1816,1833,Became colony of,200
57,St. Vincent and the Grenadines,1833,1960,Became part of,1055
57,St. Vincent and the Grenadines,1958,1962,Became part of,50
57,St. Vincent and the Grenadines,1962,1969,Became colony of,200
57,St. Vincent and the Grenadines,1969,1979,Became associated state of,200
57,St. Vincent and the Grenadines,1979,2016,Sovereign,
58,Antigua & Barbuda,1816,1871,Became colony of,200
58,Antigua & Barbuda,1871,1956,Became part of,1063
58,Antigua & Barbuda,1956,1958,Became colony of,200
58,Antigua & Barbuda,1958,1962,Became part of,50
58,Antigua & Barbuda,1962,1967,Became colony of,200
58,Antigua & Barbuda,1967,1981,Became associated state of,200
58,Antigua & Barbuda,1981,2016,Sovereign,
59,Montserrat,1816,1871,Became colony of,200
59,Montserrat,1871,1956,Became part of,1063
59,Montserrat,1956,1958,Became colony of,200
59,Montserrat,1958,1962,Became part of,50
59,Montserrat,1962,2016,Became colony of,200
60,St. Kitts-Nevis,1816,1882,Became part of,1076
60,St. Kitts-Nevis,1816,1882,Became part of,1075
60,St. Kitts-Nevis,1882,1956,Became part of,1063
60,St. Kitts-Nevis,1956,1958,Became colony of,200
60,St. Kitts-Nevis,1958,1962,Became part of,50
60,St. Kitts-Nevis,1962,1967,Became colony of,200
60,St. Kitts-Nevis,1967,1983,Became associated state of,200
60,St. Kitts-Nevis,1983,2016,Sovereign,
65,Guadeloupe,1816,2016,Became colony of,220
65,Guadeloupe,1816,1816,Occupied by,200
66,Martinique,1816,2016,Became colony of,220
68,Netherlands Antilles,1816,1845,Became part of,1065
68,Netherlands Antilles,1828,1845,Became part of,1074
68,Netherlands Antilles,1845,1954,Became colony of,210
68,Netherlands Antilles,1954,2010,Autonomous constituent country of,210
70,Mexico,1816,1821,Became colony of,1070
70,Mexico,1847,1848,Occupied by,2
70,Mexico,1863,1867,Occupied by,220
70,Mexico,1821,2016,Sovereign,
80,Belize (British Honduras),1816,1862,Became colony of,200
80,Belize (British Honduras),1862,1884,Became part of,51
80,Belize (British Honduras),1884,1981,Became colony of,200
80,Belize (British Honduras),1981,2016,Sovereign,
