currency,year,reporting,modified_currency
roupies,1845,aden,indian rupee
roupies,1846,aden,indian rupee
£,1891,aden,sterling pound
£,1892,aden,sterling pound
£,1893,aden,sterling pound
£,1894,aden,sterling pound
£,1895,aden,sterling pound
£,1896,aden,sterling pound
£,1897,aden,sterling pound
£,1898,aden,sterling pound
£,1899,aden,sterling pound
£,1900,aden,sterling pound
£,1901,aden,sterling pound
£,1902,aden,sterling pound
£,1903,aden,sterling pound
£,1904,aden,sterling pound
£,1905,aden,sterling pound
£,1906,aden,sterling pound
£,1907,aden,sterling pound
£,1908,aden,sterling pound
£,1909,aden,sterling pound
£,1910,aden,sterling pound
£,1911,aden,sterling pound
£,1912,aden,sterling pound
£,1913,aden,sterling pound
livre sterling,1925,aden,sterling pound
livre sterling,1926,aden,sterling pound
livre sterling,1927,aden,sterling pound
livre sterling,1928,aden,sterling pound
livre sterling,1929,aden,sterling pound
livre sterling,1930,aden,sterling pound
livre sterling,1931,aden,sterling pound
livre sterling,1932,aden,sterling pound
livre sterling,1933,aden,sterling pound
livre sterling,1934,aden,sterling pound
livre sterling,1935,aden,sterling pound
livre sterling,1936,aden,sterling pound
livre sterling,1937,aden,sterling pound
livre sterling,1938,aden,sterling pound
sterling,1910,afrique du sud,sterling pound
francs,1925,afrique equatoriale française,french franc
francs,1926,afrique equatoriale française,french franc
francs,1927,afrique equatoriale française,french franc
francs,1928,afrique equatoriale française,french franc
francs,1929,afrique equatoriale française,french franc
francs,1930,afrique equatoriale française,french franc
francs,1931,afrique equatoriale française,french franc
francs,1932,afrique equatoriale française,french franc
francs,1933,afrique equatoriale française,french franc
francs,1934,afrique equatoriale française,french franc
francs,1935,afrique equatoriale française,french franc
francs,1936,afrique equatoriale française,french franc
francs,1937,afrique equatoriale française,french franc
francs,1938,afrique equatoriale française,french franc
francs,1925,afrique occidentale française,french franc
francs,1926,afrique occidentale française,french franc
francs,1927,afrique occidentale française,french franc
marks,1900,afrique orient. allem.,german mark
marks,1910,afrique orient. allem.,german mark
marks,1900,afrique sud-occ. allem.,german mark
marks,1910,afrique sud-occ. allem.,german mark
kronen,1910,ah,austria-hungary krone
dollars,1901,alaska,us dollar
dollars,1902,alaska,us dollar
dollars,1903,alaska,us dollar
dollars,1904,alaska,us dollar
dollars,1905,alaska,us dollar
dollars,1906,alaska,us dollar
dollars,1907,alaska,us dollar
dollars,1908,alaska,us dollar
dollars,1909,alaska,us dollar
dollars,1910,alaska,us dollar
dollars,1911,alaska,us dollar
dollars,1912,alaska,us dollar
dollars,1913,alaska,us dollar
dollars,1914,alaska,us dollar
dollars,1915,alaska,us dollar
dollars,1916,alaska,us dollar
dollars,1917,alaska,us dollar
dollars,1918,alaska,us dollar
frank. ar,1926,albanie,albanian gold franc
frank. ar,1927,albanie,albanian gold franc
frank. ar,1928,albanie,albanian gold franc
frank. ar,1929,albanie,albanian gold franc
frank. ar,1930,albanie,albanian gold franc
frank. ar,1931,albanie,albanian gold franc
frank. ar,1932,albanie,albanian gold franc
frank. ar,1933,albanie,albanian gold franc
frank. ar,1934,albanie,albanian gold franc
frank. ar,1935,albanie,albanian gold franc
frank. ar,1936,albanie,albanian gold franc
frank. ar,1937,albanie,albanian gold franc
frank. ar,1938,albanie,albanian gold franc
francs,1865,albanie (scutari),french franc
francs,1866,albanie (scutari),french franc
$,1880,algeria,us dollar
$,1881,algeria,us dollar
$,1882,algeria,us dollar
$,1883,algeria,us dollar
$,1884,algeria,us dollar
$,1885,algeria,us dollar
$,1886,algeria,us dollar
$,1887,algeria,us dollar
$,1888,algeria,us dollar
$,1889,algeria,us dollar
$,1890,algeria,us dollar
$,1891,algeria,us dollar
$,1892,algeria,us dollar
$,1893,algeria,us dollar
$,1894,algeria,us dollar
$,1895,algeria,us dollar
$,1896,algeria,us dollar
$,1897,algeria,us dollar
$,1898,algeria,us dollar
$,1899,algeria,us dollar
$,1900,algeria,us dollar
francs,1901,algeria,french franc
francs,1902,algeria,french franc
francs,1903,algeria,french franc
francs,1904,algeria,french franc
francs,1905,algeria,french franc
francs,1906,algeria,french franc
francs,1907,algeria,french franc
francs,1908,algeria,french franc
francs,1909,algeria,french franc
francs,1910,algeria,french franc
francs,1911,algeria,french franc
francs,1912,algeria,french franc
francs,1913,algeria,french franc
francs,1914,algeria,french franc
francs,1915,algeria,french franc
francs,1916,algeria,french franc
francs,1917,algeria,french franc
francs,1918,algeria,french franc
francs,1842,algérie,french franc
francs,1890,algérie,french franc
francs,1925,algérie,french franc
francs,1926,algérie,french franc
francs,1927,algérie,french franc
francs,1928,algérie,french franc
francs,1929,algérie,french franc
francs,1930,algérie,french franc
francs,1931,algérie,french franc
francs,1932,algérie,french franc
francs,1933,algérie,french franc
francs,1934,algérie,french franc
francs,1935,algérie,french franc
francs,1936,algérie,french franc
francs,1937,algérie,french franc
francs,1938,algérie,french franc
francs,1832,allemagne,french franc
francs,1839,allemagne,french franc
francs,1840,allemagne,french franc
francs,1841,allemagne,french franc
marks,1881,allemagne,german mark
marks,1883,allemagne,german mark
marks,1884,allemagne,german mark
marks,1900,allemagne,german mark
marks,1910,allemagne,german mark
reichsmarks,1926,allemagne,german mark
reichsmarks,1927,allemagne,german mark
reichsmarks,1928,allemagne,german mark
reichsmarks,1929,allemagne,german mark
reichsmarks,1930,allemagne,german mark
reichsmarks,1931,allemagne,german mark
reichsmarks,1932,allemagne,german mark
reichsmarks,1933,allemagne,german mark
reichsmarks,1934,allemagne,german mark
reichsmarks,1935,allemagne,german mark
reichsmarks,1936,allemagne,german mark
reichsmarks,1937,allemagne,german mark
reichsmarks,1938,allemagne,german mark
marks,1881,allemagne (empire),german mark
marks,1888,allemagne (empire),german mark
marks,1890,allemagne (empire),german mark
francs,1846,amoy,french franc
francs,1847,amoy,french franc
francs,1859,angleterre,french franc
livres sterling,1859,angleterre,sterling pound
livre sterling,1924,anglo-egyptian sudan,sterling pound
livre sterling,1925,anglo-egyptian sudan,sterling pound
livre sterling,1926,anglo-egyptian sudan,sterling pound
livre sterling,1927,anglo-egyptian sudan,sterling pound
livre sterling,1928,anglo-egyptian sudan,sterling pound
livre sterling,1929,anglo-egyptian sudan,sterling pound
livre sterling,1930,anglo-egyptian sudan,sterling pound
livre sterling,1931,anglo-egyptian sudan,sterling pound
livre sterling,1932,anglo-egyptian sudan,sterling pound
livre sterling,1933,anglo-egyptian sudan,sterling pound
livre sterling,1934,anglo-egyptian sudan,sterling pound
livre sterling,1935,anglo-egyptian sudan,sterling pound
livre sterling,1936,anglo-egyptian sudan,sterling pound
livre sterling,1937,anglo-egyptian sudan,sterling pound
livre sterling,1938,anglo-egyptian sudan,sterling pound
£,1871,antigua,sterling pound
£,1872,antigua,sterling pound
£,1873,antigua,sterling pound
£,1874,antigua,sterling pound
£,1875,antigua,sterling pound
£,1876,antigua,sterling pound
£,1877,antigua,sterling pound
£,1878,antigua,sterling pound
£,1879,antigua,sterling pound
£,1880,antigua,sterling pound
£,1881,antigua,sterling pound
£,1882,antigua,sterling pound
£,1883,antigua,sterling pound
£,1884,antigua,sterling pound
£,1885,antigua,sterling pound
£,1886,antigua,sterling pound
£,1887,antigua,sterling pound
£,1888,antigua,sterling pound
£,1889,antigua,sterling pound
£,1890,antigua,sterling pound
£,1891,antigua,sterling pound
£,1892,antigua,sterling pound
£,1893,antigua,sterling pound
£,1894,antigua,sterling pound
£,1895,antigua,sterling pound
£,1896,antigua,sterling pound
£,1897,antigua,sterling pound
£,1898,antigua,sterling pound
£,1899,antigua,sterling pound
£,1900,antigua,sterling pound
£,1901,antigua,sterling pound
£,1902,antigua,sterling pound
livre sterling,1861,antigua (leeward islands - west india islands),sterling pound
livre sterling,1862,antigua (leeward islands - west india islands),sterling pound
livre sterling,1863,antigua (leeward islands - west india islands),sterling pound
livre sterling,1864,antigua (leeward islands - west india islands),sterling pound
livre sterling,1865,antigua (leeward islands - west india islands),sterling pound
livre sterling,1866,antigua (leeward islands - west india islands),sterling pound
livre sterling,1867,antigua (leeward islands - west india islands),sterling pound
livre sterling,1868,antigua (leeward islands - west india islands),sterling pound
livre sterling,1869,antigua (leeward islands - west india islands),sterling pound
livre sterling,1870,antigua (leeward islands - west india islands),sterling pound
pesos or,1910,arg,argentine gold peso
$,1861,argentine,argentine gold peso
$,1862,argentine,argentine gold peso
$,1863,argentine,argentine gold peso
$,1864,argentine,argentine gold peso
franc,1865,argentine,french franc
franc,1866,argentine,french franc
$,1867,argentine,argentine gold peso
$,1868,argentine,argentine gold peso
$,1869,argentine,argentine gold peso
dollar fuertes,1870,argentine,argentine peso fuerte
dollars,1870,argentine,argentine gold peso
pesos fuertes,1870,argentine,argentine peso fuerte
piastre forte,1875,argentine,argentine peso fuerte
piastre forte*,1875,argentine,argentine peso fuerte
pesos nacionales,1880,argentine,argentine peso nacional
piastre,1884,argentine,argentine peso fuerte
piastre*,1884,argentine,argentine peso fuerte
pesos nacionales,1888,argentine,argentine peso nacional
pesos nacionales,1890,argentine,argentine peso nacional
pesos oro,1926,argentine,argentine gold peso
pesos oro,1927,argentine,argentine gold peso
pesos oro,1928,argentine,argentine gold peso
pesos oro,1929,argentine,argentine gold peso
pesos oro,1930,argentine,argentine gold peso
pesos oro,1931,argentine,argentine gold peso
pesos papel,1932,argentine,argentine peso nacional
pesos papel,1933,argentine,argentine peso nacional
pesos papel,1934,argentine,argentine peso nacional
pesos papel,1935,argentine,argentine peso nacional
pesos papel,1936,argentine,argentine peso nacional
pesos papel,1937,argentine,argentine peso nacional
pesos papel,1938,argentine,argentine peso nacional
piastres courantes,1835,argentine (buenos aires),argentine peso corriente
franc,1843,argentine (la plata - port de buenos-ayres uniquement),french franc
franc,1855,argentine (la plata - port de buenos-ayres uniquement),french franc
dollars,1870,argentine republic,argentine gold peso
pesos fuertes,1870,argentine republic,argentine peso fuerte
dollars,1871,argentine republic,argentine gold peso
pesos fuertes,1871,argentine republic,argentine peso fuerte
dollars,1872,argentine republic,argentine gold peso
pesos fuertes,1872,argentine republic,argentine peso fuerte
dollars,1873,argentine republic,argentine gold peso
pesos fuertes,1873,argentine republic,argentine peso fuerte
dollars,1874,argentine republic,argentine gold peso
pesos fuertes,1874,argentine republic,argentine peso fuerte
dollars,1875,argentine republic,argentine gold peso
